source,cell,rows,cols,mux,op,corner,temp,vdd,T,mc,tclk_wlen,tclk_dec,trestore,access,low,high,wave,failed
v202_sweep,6T,8,8,0,read,TT,25.0,1.0,1e-08,1,121.0,170.8,250.9,293.4,414.4,250.9,True,
v202_sweep,6T,8,8,0,write,TT,25.0,1.0,1e-08,1,126.2,175.5,225.3,134.6,260.9,225.3,True,
v202_sweep,6T,8,8,1,read,TT,25.0,1.0,1e-08,1,121.0,170.8,270.9,291.3,412.3,270.9,True,
v202_sweep,6T,8,8,1,write,TT,25.0,1.0,1e-08,1,126.2,174.5,225.2,152.4,278.6,225.2,True,
v202_corners,10T,16,16,0,read,FF,125.0,1.0,1e-08,1,194.9,301.5,389.5,527.3,722.3,389.5,True,
v202_corners,10T,16,16,0,read,FF,25.0,1.0,1e-08,1,118.5,182.1,250.9,308.6,427.1,250.9,True,
v202_corners,10T,16,16,0,read,FS,25.0,1.0,1e-08,1,136.7,197.3,275.0,337.7,474.4,275.0,True,
v202_corners,10T,16,16,0,read,SF,25.0,1.0,1e-08,1,127.4,202.9,275.6,346.2,473.6,275.6,True,
v202_corners,10T,16,16,0,read,SS,25.0,1.0,1e-08,1,147.8,220.2,301.9,377.5,525.2,301.9,True,
v202_corners,10T,16,16,0,read,TT,-40.0,1.0,1e-08,1,96.0,143.2,195.9,237.8,333.8,195.9,True,
v202_corners,10T,16,16,0,read,TT,125.0,1.0,1e-08,1,217.9,338.2,434.1,592.5,810.4,434.1,True,
v202_corners,10T,16,16,0,read,TT,85.0,1.0,1e-08,1,181.1,276.3,355.9,481.8,662.9,355.9,True,
v202_corners,10T,8,4,0,read,FF,125.0,1.0,1e-08,1,177.0,253.8,367.7,465.4,642.3,367.7,False,
v202_corners,10T,8,4,0,read,FF,25.0,1.0,1e-08,1,108.0,155.0,215.6,277.5,385.5,215.6,True,
v202_corners,10T,8,4,0,read,FS,25.0,1.0,1e-08,1,121.9,167.6,237.0,304.0,426.0,237.0,True,
v202_corners,10T,8,4,0,read,SF,25.0,1.0,1e-08,1,116.8,171.9,233.0,309.6,426.4,233.0,True,
v202_corners,10T,8,4,0,read,SS,-40.0,1.0,1e-08,1,93.7,129.2,173.5,229.0,322.7,173.5,True,
v202_corners,10T,8,4,0,read,SS,25.0,1.0,1e-08,1,132.3,186.6,256.8,338.6,470.9,256.8,True,
v202_corners,10T,8,4,0,read,TT,-40.0,1.0,1e-08,1,86.3,120.1,162.4,212.8,299.1,162.4,True,
v202_corners,10T,8,4,0,read,TT,125.0,1.0,1e-08,1,198.2,284.4,408.4,526.8,725.1,408.4,False,
v202_corners,10T,8,4,0,read,TT,85.0,1.0,1e-08,1,162.7,233.4,331.0,430.2,592.9,331.0,True,
v202_corners,10T,8,4,0,write,FF,125.0,1.0,1e-08,1,181.3,257.6,335.7,251.6,432.9,335.7,False,
v202_corners,10T,8,4,0,write,FF,25.0,1.0,1e-08,1,110.3,157.0,198.5,134.3,244.6,198.5,True,
v202_corners,10T,8,4,0,write,FS,25.0,1.0,1e-08,1,124.9,170.0,216.2,122.1,247.0,216.2,True,
